GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
attendance-control-system,util,MongoDBConnection,12,44,2,4,3,16,2,5,0,4
attendance-control-system,controlador,CursoController,75,308,2,20,22,70,2,20,0,11
attendance-control-system,controlador,AuthController,0,77,0,4,0,14,0,8,0,6
attendance-control-system,controlador,AsistenciaController,43,164,2,8,10,39,3,10,1,7
attendance-control-system,controlador,ReporteController,33,416,7,23,1,87,10,18,3,10
attendance-control-system,controlador,EstudianteController,82,314,4,14,22,76,4,17,0,12
attendance-control-system,controlador,ProfesorController,60,249,5,11,17,62,5,12,0,9
attendance-control-system,modelo,Asistencia,0,60,0,0,0,19,0,14,0,14
attendance-control-system,modelo,Curso,0,63,0,0,0,20,0,14,0,14
attendance-control-system,modelo,Estudiante,0,56,0,0,0,18,0,12,0,12
attendance-control-system,modelo,Usuario,0,53,0,0,0,17,0,12,0,12
